#SLY4        n_B [fm^{-3}]  rho [g/cm^3]   p [dyn/cm^2]
#99
 0.792405959867008E-14    0.131539385974971E+02    0.302247095366909E+15
 0.250580766467172E-13    0.415964079445029E+02    0.192721817392946E+16
 0.792405959867008E-13    0.131539402900331E+03    0.122885213683037E+17
 0.250580766467172E-12    0.415964187366206E+03    0.783552996033463E+17
 0.792405959867008E-12    0.131539471714112E+04    0.499616901978636E+18
 0.250580766467172E-11    0.415964626143520E+04    0.318570728471913E+19
 0.792405959867008E-11    0.131539751491694E+05    0.203130255676308E+20
 0.250580766467172E-10    0.415966410089333E+05    0.129521946253640E+21
 0.792405959867008E-10    0.131540888989074E+06    0.825870794356885E+21
 0.250580766467172E-09    0.415973663113956E+06    0.526600000000000E+22
 0.629410234040288E-09    0.104486332202534E+07    0.231800000000000E+23
 0.158104849886544E-08    0.262472525390183E+07    0.975500000000000E+23
 0.397146890586824E-08    0.659342388687024E+07    0.391100000000000E+24
 0.499938025672213E-08    0.830009258746782E+07    0.525900000000000E+24
 0.997366035816307E-08    0.165594618898084E+08    0.143500000000000E+25
 0.199038194110668E-07    0.330492580693443E+08    0.383300000000000E+25
 0.397209640718649E-07    0.659613711305071E+08    0.100600000000000E+26
 0.792418564452663E-07    0.131608132519879E+09    0.260400000000000E+26
 0.158101406297455E-06    0.262626726328091E+09    0.667600000000000E+26
 0.199033206564924E-06    0.330641385202823E+09    0.873800000000000E+26
 0.315499695463202E-06    0.524196955389506E+09    0.162900000000000E+27
 0.499934080568851E-06    0.830774690471042E+09    0.302900000000000E+27
 0.629458589212406E-06    0.104611618526668E+10    0.412900000000000E+27
 0.729727457487442E-06    0.121283679377128E+10    0.503600000000000E+27
 0.965971146546113E-06    0.160569520818340E+10    0.686000000000000E+27
 0.153107000415745E-05    0.254563979594349E+10    0.127200000000000E+28
 0.250562661931723E-05    0.416720098712112E+10    0.235600000000000E+28
 0.397141379770464E-05    0.660707672280524E+10    0.436200000000000E+28
 0.482727428613838E-05    0.803212635529062E+10    0.566200000000000E+28
 0.607736284802167E-05    0.101140541527037E+11    0.770200000000000E+28
 0.792625465087822E-05    0.131940228900230E+11    0.104800000000000E+29
 0.997703609874371E-05    0.166112595162526E+11    0.142500000000000E+29
 0.125609035335829E-04    0.209180471320402E+11    0.193800000000000E+29
 0.152143539830860E-04    0.253420869946116E+11    0.250300000000000E+29
 0.199041938317933E-04    0.331637485507662E+11    0.340400000000000E+29
 0.250558859045481E-04    0.417587455096459E+11    0.462800000000000E+29
 0.302437264418389E-04    0.504169982147735E+11    0.594900000000000E+29
 0.397148963129425E-04    0.662295290974788E+11    0.808900000000000E+29
 0.500057205192782E-04    0.834179006771538E+11    0.110000000000000E+30
 0.615115619502737E-04    0.102643848614562E+12    0.145000000000000E+30
 0.654540322464242E-04    0.109233052393080E+12    0.149500000000000E+30
 0.848543390899079E-04    0.141666945642691E+12    0.203300000000000E+30
 0.101951949234728E-03    0.170263384731513E+12    0.259700000000000E+30
 0.110516834614163E-03    0.184592658537170E+12    0.289200000000000E+30
 0.125584418787288E-03    0.209805642817267E+12    0.329000000000000E+30
 0.163471959083754E-03    0.273232777872702E+12    0.447300000000000E+30
 0.199040377780961E-03    0.332806384527699E+12    0.581600000000000E+30
 0.250584885047483E-03    0.419182780697427E+12    0.753800000000000E+30
 0.257211369324703E-03    0.430290247401566E+12    0.780500000000000E+30
 0.259308963120565E-03    0.433806443600794E+12    0.789000000000000E+30
 0.270613214320415E-03    0.452757067032473E+12    0.835200000000000E+30
 0.288542839998925E-03    0.482818984119206E+12    0.909800000000000E+30
 0.297839506320659E-03    0.498408414954681E+12    0.949100000000000E+30
 0.305804963744281E-03    0.511766655519583E+12    0.983100000000000E+30
 0.341765071242143E-03    0.572079655078322E+12    0.108300000000000E+31
 0.126160000000000E-02    0.211582256017989E+13    0.215470000000000E+31
 0.189470000000000E-02    0.317918698063795E+13    0.342720000000000E+31
 0.267260000000000E-02    0.448634910774950E+13    0.526790000000000E+31
 0.360620000000000E-02    0.605602382412865E+13    0.779760000000000E+31
 0.470970000000000E-02    0.791223051813508E+13    0.111470000000000E+32
 0.749630000000000E-02    0.126032352789129E+14    0.208940000000000E+32
 0.111970000000000E-01    0.188392881312097E+14    0.358410000000000E+32
 0.159990000000000E-01    0.269418446736826E+14    0.576110000000000E+32
 0.220730000000000E-01    0.372001379762608E+14    0.881170000000000E+32
 0.294770000000000E-01    0.497172472308359E+14    0.129470000000000E+33
 0.426840000000000E-01    0.720752797707025E+14    0.216200000000000E+33
 0.622000000000000E-01    0.105174926476846E+15    0.384750000000000E+33
 0.731740000000000E-01    0.123819910128886E+15    0.504620000000000E+33
 0.759590000000000E-01    0.128553712705060E+15    0.537110000000000E+33
 0.100000000000000E+00    0.169486537744125E+15    0.991480000000000E+33
 0.150000000000000E+00    0.255194806616188E+15    0.298270000000000E+34
 0.200000000000000E+00    0.341953075488251E+15    0.695860000000000E+34
 0.250000000000000E+00    0.430171344360314E+15    0.136680000000000E+35
 0.300000000000000E+00    0.520239613232376E+15    0.237580000000000E+35
 0.350000000000000E+00    0.612517882104439E+15    0.378300000000000E+35
 0.400000000000000E+00    0.707386150976502E+15    0.564510000000000E+35
 0.450000000000000E+00    0.805184419848565E+15    0.801620000000000E+35
 0.500000000000000E+00    0.906252688720627E+15    0.109480000000000E+36
 0.550000000000000E+00    0.101095095759269E+16    0.144910000000000E+36
 0.600000000000000E+00    0.111941922646475E+16    0.186930000000000E+36
 0.650000000000000E+00    0.123228749533682E+16    0.235990000000000E+36
